,id,date_recorded,funder,gps_height,installer,longitude,latitude,num_private,basin,region,region_code,district_code,lga,population,public_meeting,scheme_management,permit,construction_year,extraction_type,extraction_type_group,extraction_type_class,management,management_group,payment,payment_type,water_quality,quality_group,quantity,quantity_group,source,source_type,source_class,waterpoint_type,waterpoint_type_group,status_group,nearest_functional_dist,priority_scores
7359,73220,2012-12-13,government of tanzania,1175.0,government,33.71501703,-1.50573666,0,lake victoria,mara,20,3,musoma rural,320.0,,vwc,True,1967.0,gravity,gravity,gravity,vwc,user-group,,,soft,good,enough,enough,lake,river/lake,surface,communal standpipe,communal standpipe,functional needs repair,0.03470027606350339,0.34466543600389343
28030,2071,2013-03-21,government of tanzania,1417.0,dwe,36.74842269,-3.0799855,0,internal,arusha,2,2,arusha rural,150.0,True,vwc,True,1960.0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,fluoride,fluoride,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair,0.0031742383398853254,0.3409933488868732
7694,55651,2013-01-23,railway,1084.0,railway,34.97582364,-5.70687554,0,internal,singida,13,3,manyoni,500.0,True,vwc,False,1972.0,mono,mono,motorpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe,functional needs repair,0.0517792569756012,0.34097374067387654
2337,19146,2013-01-23,ministry of water,1084.0,idara ya maji,34.97618033,-5.70909902,0,internal,singida,13,3,manyoni,350.0,True,vwc,False,1972.0,mono,mono,motorpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe,functional needs repair,0.05354382719772448,0.3401679389150919
17877,3272,2013-03-29,government of tanzania,1508.0,dwe,36.63932358,-3.31077639,0,pangani,arusha,2,2,arusha rural,500.0,True,vwc,True,1961.0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe multiple,communal standpipe,functional needs repair,0.0012567408272554713,0.3396540219633911
14751,55640,2013-03-18,ministry of water,1322.0,dwe,36.182912,-2.61694861,0,internal,arusha,2,6,longido,350.0,True,vwc,True,1961.0,gravity,gravity,gravity,vwc,user-group,pay when scheme fails,on failure,soft,good,enough,enough,river,river/lake,surface,cattle trough,cattle trough,functional needs repair,0.0027466895392431866,0.3384649970989382
50982,30127,2013-03-30,government of tanzania,1625.0,central government,37.57955019,-3.25654634,0,pangani,kilimanjaro,3,4,moshi rural,1.0,True,wua,True,1960.0,gravity,gravity,gravity,wua,user-group,never pay,never pay,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair,0.0028087445169149034,0.3372369176317949
2768,8668,2013-03-30,government of tanzania,1646.0,central government,37.58172019,-3.25533701,0,pangani,kilimanjaro,3,4,moshi rural,1.0,True,wua,True,1960.0,gravity,gravity,gravity,wua,user-group,never pay,never pay,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair,0.002808573612244776,0.3372366791413052
5729,52188,2013-03-18,ministry of water,1324.0,dwe,36.18324909,-2.61696719,0,internal,arusha,2,6,longido,300.0,True,,True,1961.0,gravity,gravity,gravity,vwc,user-group,pay when scheme fails,on failure,soft,good,insufficient,insufficient,river,river/lake,surface,cattle trough,cattle trough,functional needs repair,0.0024572079690800314,0.3369716415651021
20045,5025,2013-03-21,government of tanzania,1428.0,dwe,36.74703738,-3.08288134,0,internal,arusha,2,2,arusha rural,150.0,True,vwc,True,1960.0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,fluoride,fluoride,enough,enough,spring,spring,groundwater,other,other,functional needs repair,0.00027664977444680867,0.3369498823410516
47072,72338,2013-02-27,lench,1178.0,lench,37.30931191,-5.41105246,0,pangani,manyara,21,5,kiteto,290.0,True,vwc,True,1971.0,submersible,submersible,submersible,vwc,user-group,never pay,never pay,salty,salty,enough,enough,machine dbh,borehole,groundwater,communal standpipe,communal standpipe,functional needs repair,0.04765540963699592,0.33693292580104167
27109,60467,2013-01-23,ministry of water,1080.0,idara ya maji,34.97780199,-5.70878761,0,internal,singida,13,3,manyoni,250.0,True,vwc,False,1972.0,mono,mono,motorpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe,functional needs repair,0.05251095103214585,0.3365478107521799
18629,36162,2013-03-30,government of tanzania,1614.0,central government,37.57876436,-3.26116232,0,pangani,kilimanjaro,3,4,moshi rural,1.0,True,wua,True,1960.0,gravity,gravity,gravity,wua,user-group,never pay,never pay,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair,0.002103488819698461,0.3362527620991708
18094,20733,2013-03-10,government of tanzania,1370.0,central govt,37.66760783,-3.61413429,0,pangani,kilimanjaro,3,2,mwanga,500.0,True,water board,False,1972.0,gravity,gravity,gravity,water board,user-group,pay monthly,monthly,soft,good,insufficient,insufficient,river,river/lake,surface,other,other,functional needs repair,0.0481461905524669,0.33590394480433494
38782,36450,2013-01-23,ministry of water,1072.0,idara ya maji,34.97921877,-5.70848831,0,internal,singida,13,3,manyoni,250.0,True,vwc,False,1972.0,mono,mono,motorpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe,functional needs repair,0.05161038724477897,0.3352911107534189
56509,35499,2013-03-22,government of tanzania,1206.0,community,37.00237204,-3.27101492,0,pangani,arusha,2,7,meru,150.0,True,vwc,True,1963.0,gravity,gravity,gravity,vwc,user-group,,,soft,good,enough,enough,spring,spring,groundwater,communal standpipe multiple,communal standpipe,functional needs repair,0.011213936614269608,0.33334449507092856
22111,22118,2011-03-31,government of tanzania,1213.0,dwe,38.37203023,-4.842029,0,pangani,tanga,4,1,lushoto,1.0,True,vwc,True,1962.0,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair,0.008810562906110125,0.3330335938108627
11182,38255,2013-03-22,government of tanzania,1214.0,community,37.00518279,-3.25923518,0,pangani,arusha,2,7,meru,120.0,True,vwc,True,1963.0,gravity,gravity,gravity,vwc,user-group,,,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair,0.011055263315083419,0.33246943546728003
13930,46076,2013-02-23,government of tanzania,1015.0,dwe,37.38140318,-3.31104624,0,pangani,kilimanjaro,3,4,moshi rural,345.0,True,parastatal,True,1963.0,gravity,gravity,gravity,parastatal,parastatal,,,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair,0.007375069222190711,0.332236156053479
47511,35028,2011-03-03,government of tanzania,551.0,gover,36.28298006,-7.35267607,0,rufiji,iringa,11,7,kilolo,617.0,True,vwc,True,1984.0,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,functional needs repair,0.09741932131008732,0.33174007525482024
4628,54408,2013-02-22,government of tanzania,948.0,dwe,37.37840077,-3.31628971,0,pangani,kilimanjaro,3,4,moshi rural,65.0,False,vwc,True,1963.0,gravity,gravity,gravity,vwc,user-group,,,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair,0.010512646601750322,0.3305139005935639
40297,23225,2013-03-07,,1149.0,,36.44094093,-3.13120529,0,internal,arusha,2,1,monduli,1.0,True,vwc,,1980.0,gravity,gravity,gravity,vwc,user-group,pay when scheme fails,on failure,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair,0.0881265030646431,0.33050820297157935
1936,48446,2011-03-31,government of tanzania,1205.0,dwe,38.37105769,-4.8399883,0,pangani,tanga,4,1,lushoto,1.0,True,vwc,True,1962.0,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair,0.006550368199278431,0.32987958437241993
19626,62459,2011-03-15,unice,154.0,rwe,37.87121671,-7.10693464,0,wami / ruvu,morogoro,5,2,morogoro rural,3500.0,True,vwc,True,1984.0,swn 80,swn 80,handpump,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,functional needs repair,0.04926312967549165,0.327354638901695
5994,61285,2013-03-21,government of tanzania,1170.0,community,36.99014555,-3.27686916,0,pangani,arusha,2,7,meru,120.0,True,vwc,True,1963.0,gravity,gravity,gravity,vwc,user-group,,,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair,0.0065664167354812395,0.32620543332755586
16236,13985,2013-02-19,district council,735.0,district council,37.72791421,-3.69148166,0,pangani,kilimanjaro,3,2,mwanga,200.0,True,vwc,True,1963.0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair,0.0049524487063396065,0.3256962401486372
1411,43011,2011-03-16,dhv,275.0,dwe,36.0332745,-8.82720725,0,rufiji,morogoro,5,4,ulanga,700.0,True,,True,1967.0,swn 80,swn 80,handpump,vwc,user-group,never pay,never pay,coloured,colored,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,functional needs repair,0.0146931419315798,0.3250257053762934
7386,61007,2013-03-10,government of tanzania,1440.0,central govt,37.65946145,-3.60214795,0,pangani,kilimanjaro,3,2,mwanga,120.0,True,water board,False,1972.0,gravity,gravity,gravity,water board,user-group,pay monthly,monthly,soft,good,enough,enough,river,river/lake,surface,other,other,functional needs repair,0.0454840820095626,0.3239096727760382
56929,947,2013-02-22,government of tanzania,1024.0,dwe,37.38806196,-3.3112025000000003,0,pangani,kilimanjaro,3,4,moshi rural,45.0,False,vwc,True,1963.0,gravity,gravity,gravity,vwc,user-group,,,soft,good,enough,enough,spring,spring,groundwater,other,other,functional needs repair,0.004183175556846586,0.3212456238296035
14234,26024,2013-01-24,district council,251.0,district water department,39.09428888,-9.90039167,0,ruvuma / southern coast,lindi,80,53,ruangwa,2000.0,True,wua,True,1975.0,gravity,gravity,gravity,wua,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair,0.026666810963624294,0.3197442976114853
58573,25546,2013-02-22,government of tanzania,1252.0,dwe,37.3927407,-3.28509364,0,pangani,kilimanjaro,3,4,moshi rural,184.0,True,parastatal,False,1963.0,gravity,gravity,gravity,parastatal,parastatal,,,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair,0.000537514718776636,0.3191867733507958
14155,30621,2013-03-22,government of tanzania,1185.0,community,37.00655462,-3.28018213,0,pangani,arusha,2,7,meru,120.0,True,vwc,True,1963.0,gravity,gravity,gravity,vwc,user-group,,,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair,0.001357491925463312,0.3189365914152742
8519,4870,2013-02-22,government of tanzania,1148.0,dwe,37.38307015,-3.29706015,0,pangani,kilimanjaro,3,4,moshi rural,50.0,True,parastatal,False,1963.0,gravity,gravity,gravity,parastatal,parastatal,,,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair,0.0024255913776665694,0.31890192644497745
44567,72275,2013-02-22,government of tanzania,1153.0,dwe,37.38407024,-3.29590968,0,pangani,kilimanjaro,3,4,moshi rural,40.0,True,parastatal,False,1963.0,gravity,gravity,gravity,parastatal,parastatal,,,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair,0.0009149685795722773,0.31657603483886254
7948,67226,2013-11-03,government of tanzania,634.0,government,37.96530499,-4.11860916,0,pangani,kilimanjaro,3,3,same,200.0,True,water authority,True,1967.0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,functional needs repair,0.016432113710280603,0.3165584112872539
8049,51342,2013-03-10,government of tanzania,1364.0,central govt,37.65800699,-3.59437171,0,pangani,kilimanjaro,3,2,mwanga,120.0,True,water board,False,1972.0,gravity,gravity,gravity,water board,user-group,pay monthly,monthly,soft,good,enough,enough,river,river/lake,surface,other,other,functional needs repair,0.039895123089970036,0.3161105087791567
27783,53823,2013-01-23,ministry of water,1074.0,idara ya maji,34.98040763,-5.69284527,0,internal,singida,13,3,manyoni,250.0,True,vwc,False,1972.0,mono,mono,motorpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe,functional needs repair,0.03746535560271789,0.31555229658343475
6416,61523,2013-03-14,,840.0,,35.99658694,-3.01358059,0,internal,arusha,2,1,monduli,1.0,False,parastatal,,2000.0,gravity,gravity,gravity,parastatal,parastatal,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair,0.1669682062498043,0.31474241744500175
32896,12083,2013-07-03,government of tanzania,505.0,government,38.05773264,-4.37616697,0,pangani,kilimanjaro,3,3,same,240.0,True,water authority,True,1967.0,gravity,gravity,gravity,vwc,user-group,pay annually,annually,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,functional needs repair,0.013530503010846085,0.31338084867451105
12320,63618,2011-07-28,sda,1152.0,sda,32.96479474,-1.98671128,0,lake victoria,mwanza,19,1,ukerewe,400.0,True,,True,1969.0,other,other,other,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,spring,spring,groundwater,other,other,functional needs repair,0.020032556092214923,0.3133616485713227
44909,55487,2013-03-10,government of tanzania,1487.0,central govt,37.65823075,-3.58567395,0,pangani,kilimanjaro,3,2,mwanga,180.0,True,water board,False,1972.0,gravity,gravity,gravity,water board,user-group,pay monthly,monthly,soft,good,enough,enough,river,river/lake,surface,other,other,functional needs repair,0.036481095460999535,0.3126536475896635
3163,11589,2013-03-10,government of tanzania,1467.0,central govt,37.65900518,-3.58255937,0,pangani,kilimanjaro,3,2,mwanga,180.0,True,water board,False,1972.0,gravity,gravity,gravity,water board,user-group,pay monthly,monthly,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,functional needs repair,0.0363726331883554,0.3125022929162805
43832,20163,2013-02-17,danida,330.0,danida,37.35113776,-11.64944018,0,ruvuma / southern coast,ruvuma,10,1,tunduru,1.0,True,vwc,False,1994.0,swn 80,swn 80,handpump,vwc,user-group,pay annually,annually,soft,good,insufficient,insufficient,machine dbh,borehole,groundwater,hand pump,hand pump,functional needs repair,0.13829124867350584,0.31246074297229115
49081,33806,2013-01-03,government of tanzania,1250.0,rwe,36.90804899,-3.3695992999999995,0,pangani,arusha,2,7,meru,120.0,True,vwc,False,1964.0,gravity,gravity,gravity,vwc,user-group,,,soft,good,seasonal,seasonal,river,river/lake,surface,communal standpipe,communal standpipe,functional needs repair,0.0011061032004743064,0.3122964805366733
57743,42800,2013-02-17,danida,327.0,danida,37.35186912,-11.64837759,0,ruvuma / southern coast,ruvuma,10,1,tunduru,1.0,True,vwc,False,1994.0,swn 80,swn 80,handpump,vwc,user-group,pay annually,annually,soft,good,enough,enough,machine dbh,borehole,groundwater,hand pump,hand pump,functional needs repair,0.13716619196209506,0.31089077226319806
3921,3703,2013-01-29,mission,1100.0,mission,35.1864879,-6.5756821,0,internal,singida,13,3,manyoni,1000.0,False,trust,False,2000.0,windmill,wind-powered,wind-powered,trust,commercial,pay per bucket,per bucket,salty,salty,enough,enough,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe,functional needs repair,0.1482719336426231,0.3104186608227537
15722,1657,2013-06-03,government of tanzania,497.0,government,38.07612217,-4.46612976,0,pangani,kilimanjaro,3,3,same,210.0,True,water authority,True,1967.0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,river,river/lake,surface,communal standpipe multiple,communal standpipe,functional needs repair,0.01182129312171974,0.3103420785619668
662,1198,2013-03-10,government of tanzania,1425.0,central govt,37.65517792,-3.58999542,0,pangani,kilimanjaro,3,2,mwanga,100.0,True,water board,False,1972.0,gravity,gravity,gravity,water board,user-group,pay monthly,monthly,soft,good,enough,enough,river,river/lake,surface,other,other,functional needs repair,0.03531536861123882,0.3092838900491821
2764,43470,2013-02-28,world bank,1263.0,water board,37.22393544,-5.36894805,0,pangani,manyara,21,5,kiteto,1200.0,True,vwc,True,1969.0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,salty,salty,insufficient,insufficient,spring,spring,groundwater,other,other,functional needs repair,0.003182655288228476,0.30727863305237946
56444,31492,2013-02-28,world bank,1264.0,water board,37.22359167,-5.36878193,0,pangani,manyara,21,5,kiteto,1200.0,True,vwc,True,1969.0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,other,other,functional needs repair,0.003033796496337352,0.3070709066856197
10323,23828,2013-02-19,government of tanzania,1241.0,government,30.22108976,-4.56105265,0,lake tanganyika,kigoma,16,2,kasulu,340.0,True,water authority,True,1975.0,gravity,gravity,gravity,water board,user-group,pay monthly,monthly,soft,good,enough,enough,river,river/lake,surface,communal standpipe multiple,communal standpipe,functional needs repair,0.043339367572169364,0.30684222842342723
29854,61714,2013-08-03,government of tanzania,527.0,government,38.04999869,-4.28404491,0,pangani,kilimanjaro,3,3,same,120.0,True,water authority,True,1967.0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,river,river/lake,surface,communal standpipe multiple,communal standpipe,functional needs repair,0.010641421839177857,0.3067347038787859
46558,18665,2011-03-04,rc,335.0,rc,37.57331255,-6.21858859,0,wami / ruvu,morogoro,5,6,mvomero,150.0,True,vwc,True,1967.0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,functional needs repair,0.009561279497274386,0.3058810468313081
20159,11616,2011-07-19,dwe,1745.0,dwe,31.55792215,-8.29331557,0,lake tanganyika,rukwa,15,2,sumbawanga rural,300.0,True,vwc,False,1972.0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,functional needs repair,0.02961794324464618,0.30569094883808473
13503,13823,2011-03-04,rc,322.0,rc,37.57530775,-6.21821422,0,wami / ruvu,morogoro,5,6,mvomero,1.0,False,vwc,True,1967.0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,functional needs repair,0.010129321788101213,0.30342732711039283
8375,21565,2011-04-06,government of tanzania,,government,33.24466797,-8.25884305,0,lake rukwa,mbeya,12,1,chunya,,True,vwc,True,,india mark ii,india mark ii,handpump,vwc,user-group,pay per bucket,per bucket,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,functional needs repair,0.13212286760158218,0.3033724949066517
2637,53730,2013-11-03,government of tanzania,595.0,government,38.02169825,-4.16786366,0,pangani,kilimanjaro,3,3,same,120.0,True,water authority,True,1967.0,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,functional needs repair,0.0073577396548995455,0.30215245945057095
3623,12902,2013-07-03,government of tanzania,505.0,government,38.05159556,-4.36788923,0,pangani,kilimanjaro,3,3,same,243.0,True,water authority,True,1967.0,gravity,gravity,gravity,vwc,user-group,pay annually,annually,soft,good,enough,enough,river,river/lake,surface,communal standpipe multiple,communal standpipe,functional needs repair,0.004271854440227991,0.30052614633801394
2723,7105,2011-07-19,dwe,1756.0,dwe,31.55514512,-8.29368226,0,lake tanganyika,rukwa,15,2,sumbawanga rural,230.0,True,vwc,True,1972.0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,functional needs repair,0.02692520447236121,0.3004081876658816
